,system:time_start,total_precipitation
94,"Apr 4, 2000",0.004
95,"Apr 5, 2000",0.01
96,"Apr 6, 2000",0.008
97,"Apr 7, 2000",0.011000000000000001
98,"Apr 8, 2000",0.006999999999999999
99,"Apr 9, 2000",0.02
100,"Apr 10, 2000",0.004
101,"Apr 11, 2000",0.006999999999999999
102,"Apr 12, 2000",0.003
103,"Apr 13, 2000",0.002
104,"Apr 14, 2000",0.006
105,"Apr 15, 2000",0.008
106,"Apr 16, 2000",0.004
107,"Apr 17, 2000",0.006999999999999999
108,"Apr 18, 2000",0.015
109,"Apr 19, 2000",0.011000000000000001
110,"Apr 20, 2000",0.012
111,"Apr 21, 2000",0.017
112,"Apr 22, 2000",0.009000000000000001
113,"Apr 23, 2000",0.01
114,"Apr 24, 2000",0.037000000000000005
115,"Apr 25, 2000",0.027000000000000003
116,"Apr 26, 2000",0.051
117,"Apr 27, 2000",0.09
118,"Apr 28, 2000",0.054000000000000006
119,"Apr 29, 2000",0.057
120,"Apr 30, 2000",0.091
121,"May 1, 2000",0.059000000000000004
122,"May 2, 2000",0.027999999999999997
123,"May 3, 2000",0.012
124,"May 4, 2000",0.003
125,"May 5, 2000",0.003
126,"May 6, 2000",0.013000000000000001
127,"May 7, 2000",0.002
128,"May 8, 2000",0.003
129,"May 9, 2000",0.003
130,"May 10, 2000",0.011000000000000001
131,"May 11, 2000",0.005
132,"May 12, 2000",0.005
133,"May 13, 2000",0.009000000000000001
134,"May 14, 2000",0.003
135,"May 15, 2000",0.005
136,"May 16, 2000",0.01
137,"May 17, 2000",0.019
138,"May 18, 2000",0.055
139,"May 19, 2000",0.028999999999999998
140,"May 20, 2000",0.024
141,"May 21, 2000",0.015
142,"May 22, 2000",0.013999999999999999
143,"May 23, 2000",0.081
144,"May 24, 2000",0.012
145,"May 25, 2000",0.036000000000000004
146,"May 26, 2000",0.073
147,"May 27, 2000",0.079
148,"May 28, 2000",0.075
149,"May 29, 2000",0.051
150,"May 30, 2000",0.044000000000000004
151,"May 31, 2000",0.013999999999999999
152,"Jun 1, 2000",0.02
153,"Jun 2, 2000",0.002
154,"Jun 3, 2000",0.001
155,"Jun 4, 2000",0.016
156,"Jun 5, 2000",0.019
157,"Jun 6, 2000",0.023
158,"Jun 7, 2000",0.027999999999999997
159,"Jun 8, 2000",0.035
160,"Jun 9, 2000",0.036000000000000004
161,"Jun 10, 2000",0.044000000000000004
162,"Jun 11, 2000",0.018000000000000002
163,"Jun 12, 2000",0.015
164,"Jun 13, 2000",0.047
165,"Jun 14, 2000",0.021
166,"Jun 15, 2000",0.008
167,"Jun 16, 2000",0.02
168,"Jun 17, 2000",0.015
169,"Jun 18, 2000",0.025
170,"Jun 19, 2000",0.02
171,"Jun 20, 2000",0.051
172,"Jun 21, 2000",0.062
173,"Jun 22, 2000",0.067
174,"Jun 23, 2000",0.063
175,"Jun 24, 2000",0.042
176,"Jun 25, 2000",0.039
177,"Jun 26, 2000",0.021
178,"Jun 27, 2000",0.01
179,"Jun 28, 2000",0.011000000000000001
180,"Jun 29, 2000",0.015
181,"Jun 30, 2000",0.006
182,"Jul 1, 2000",0.006
183,"Jul 2, 2000",0.008
184,"Jul 3, 2000",0.002
185,"Jul 4, 2000",0.002
186,"Jul 5, 2000",0.013999999999999999
187,"Jul 6, 2000",0.005
188,"Jul 7, 2000",0.024
189,"Jul 8, 2000",0.033
190,"Jul 9, 2000",0.057
191,"Jul 10, 2000",0.016
192,"Jul 11, 2000",0.018000000000000002
193,"Jul 12, 2000",0.037000000000000005
194,"Jul 13, 2000",0.042
195,"Jul 14, 2000",0.044000000000000004
196,"Jul 15, 2000",0.009000000000000001
197,"Jul 16, 2000",0.01
198,"Jul 17, 2000",0.037000000000000005
199,"Jul 18, 2000",0.051
200,"Jul 19, 2000",0.039
201,"Jul 20, 2000",0.028999999999999998
202,"Jul 21, 2000",0.013000000000000001
203,"Jul 22, 2000",0.018000000000000002
204,"Jul 23, 2000",0.02
205,"Jul 24, 2000",0.022000000000000002
206,"Jul 25, 2000",0.027000000000000003
207,"Jul 26, 2000",0.021
208,"Jul 27, 2000",0.015
209,"Jul 28, 2000",0.008
210,"Jul 29, 2000",0.006
211,"Jul 30, 2000",0.022000000000000002
212,"Jul 31, 2000",0.059000000000000004
213,"Aug 1, 2000",0.13699999999999998
214,"Aug 2, 2000",0.073
215,"Aug 3, 2000",0.017
216,"Aug 4, 2000",0.01
217,"Aug 5, 2000",0.004
218,"Aug 6, 2000",0.008
219,"Aug 7, 2000",0.031
220,"Aug 8, 2000",0.027000000000000003
221,"Aug 9, 2000",0.038
222,"Aug 10, 2000",0.022000000000000002
223,"Aug 11, 2000",0.045
224,"Aug 12, 2000",0.028999999999999998
225,"Aug 13, 2000",0.036000000000000004
226,"Aug 14, 2000",0.034
227,"Aug 15, 2000",0.034
228,"Aug 16, 2000",0.048
229,"Aug 17, 2000",0.021
230,"Aug 18, 2000",0.006999999999999999
231,"Aug 19, 2000",0.01
232,"Aug 20, 2000",0.012
233,"Aug 21, 2000",0.011000000000000001
234,"Aug 22, 2000",0.021
235,"Aug 23, 2000",0.011000000000000001
236,"Aug 24, 2000",0.019
237,"Aug 25, 2000",0.003
238,"Aug 26, 2000",0.004
239,"Aug 27, 2000",0.008
240,"Aug 28, 2000",0.027000000000000003
241,"Aug 29, 2000",0.051
242,"Aug 30, 2000",0.042
243,"Aug 31, 2000",0.042
244,"Sep 1, 2000",0.028999999999999998
245,"Sep 2, 2000",0.036000000000000004
246,"Sep 3, 2000",0.024
247,"Sep 4, 2000",0.03
248,"Sep 5, 2000",0.006999999999999999
249,"Sep 6, 2000",0.011000000000000001
250,"Sep 7, 2000",0.032
251,"Sep 8, 2000",0.033
252,"Sep 9, 2000",0.044000000000000004
253,"Sep 10, 2000",0.024
254,"Sep 11, 2000",0.01
255,"Sep 12, 2000",0.002
256,"Sep 13, 2000",0.013000000000000001
257,"Sep 14, 2000",0.017
258,"Sep 15, 2000",0.024
259,"Sep 16, 2000",0.026000000000000002
260,"Sep 17, 2000",0.055999999999999994
261,"Sep 18, 2000",0.03
262,"Sep 19, 2000",0.013999999999999999
263,"Sep 20, 2000",0.002
264,"Sep 21, 2000",0.003
265,"Sep 22, 2000",0.005
266,"Sep 23, 2000",0.015
267,"Sep 24, 2000",0.013999999999999999
268,"Sep 25, 2000",0.011000000000000001
269,"Sep 26, 2000",0.003
270,"Sep 27, 2000",0.0
271,"Sep 28, 2000",0.001
272,"Sep 29, 2000",0.001
273,"Sep 30, 2000",0.004
274,"Oct 1, 2000",0.012
275,"Oct 2, 2000",0.079
276,"Oct 3, 2000",0.006999999999999999
277,"Oct 4, 2000",0.003
278,"Oct 5, 2000",0.005
279,"Oct 6, 2000",0.003
280,"Oct 7, 2000",0.003
281,"Oct 8, 2000",0.005
282,"Oct 9, 2000",0.004
283,"Oct 10, 2000",0.003
284,"Oct 11, 2000",0.001
285,"Oct 12, 2000",0.001
286,"Oct 13, 2000",0.001
287,"Oct 14, 2000",0.001
288,"Oct 15, 2000",0.001
289,"Oct 16, 2000",0.002
290,"Oct 17, 2000",0.01
291,"Oct 18, 2000",0.005
292,"Oct 19, 2000",0.001
293,"Oct 20, 2000",0.002
294,"Oct 21, 2000",0.003
295,"Oct 22, 2000",0.001
296,"Oct 23, 2000",0.001
297,"Oct 24, 2000",0.001
298,"Oct 25, 2000",0.0
299,"Oct 26, 2000",0.0
300,"Oct 27, 2000",0.031
301,"Oct 28, 2000",0.125
302,"Oct 29, 2000",0.009000000000000001
303,"Oct 30, 2000",0.0
304,"Oct 31, 2000",0.0
305,"Nov 1, 2000",0.0
306,"Nov 2, 2000",0.0
307,"Nov 3, 2000",0.0
308,"Nov 4, 2000",0.001
309,"Nov 5, 2000",0.001
310,"Nov 6, 2000",0.001
311,"Nov 7, 2000",0.0
312,"Nov 8, 2000",0.0
313,"Nov 9, 2000",0.001
314,"Nov 10, 2000",0.005
315,"Nov 11, 2000",0.008
316,"Nov 12, 2000",0.006
317,"Nov 13, 2000",0.001
318,"Nov 14, 2000",0.0
319,"Nov 15, 2000",0.0
320,"Nov 16, 2000",0.0
321,"Nov 17, 2000",0.0
322,"Nov 18, 2000",0.0
323,"Nov 19, 2000",0.0
324,"Nov 20, 2000",0.001
325,"Nov 21, 2000",0.002
326,"Nov 22, 2000",0.0
327,"Nov 23, 2000",0.0
328,"Nov 24, 2000",0.0
329,"Nov 25, 2000",0.0
330,"Nov 26, 2000",0.0
331,"Nov 27, 2000",0.0
332,"Nov 28, 2000",0.0
333,"Nov 29, 2000",0.0
334,"Nov 30, 2000",0.0
335,"Dec 1, 2000",0.0
336,"Dec 2, 2000",0.0
337,"Dec 3, 2000",0.0
338,"Dec 4, 2000",0.0
339,"Dec 5, 2000",0.0
340,"Dec 6, 2000",0.0
341,"Dec 7, 2000",0.0
342,"Dec 8, 2000",0.0
343,"Dec 9, 2000",0.0
344,"Dec 10, 2000",0.0
345,"Dec 11, 2000",0.0
346,"Dec 12, 2000",0.0
347,"Dec 13, 2000",0.0
348,"Dec 14, 2000",0.0
349,"Dec 15, 2000",0.0
350,"Dec 16, 2000",0.0
351,"Dec 17, 2000",0.0
352,"Dec 18, 2000",0.0
353,"Dec 19, 2000",0.0
354,"Dec 20, 2000",0.0
355,"Dec 21, 2000",0.0
356,"Dec 22, 2000",0.0
357,"Dec 23, 2000",0.0
358,"Dec 24, 2000",0.0
359,"Dec 25, 2000",0.0
360,"Dec 26, 2000",0.0
361,"Dec 27, 2000",0.0
362,"Dec 28, 2000",0.0
363,"Dec 29, 2000",0.0
364,"Dec 30, 2000",0.0
365,"Dec 31, 2000",0.0
366,"Jan 1, 2001",0.0
367,"Jan 2, 2001",0.0
368,"Jan 3, 2001",0.0
369,"Jan 4, 2001",0.0
370,"Jan 5, 2001",0.0
371,"Jan 6, 2001",0.0
372,"Jan 7, 2001",0.0
373,"Jan 8, 2001",0.0
374,"Jan 9, 2001",0.0
375,"Jan 10, 2001",0.0
376,"Jan 11, 2001",0.0
377,"Jan 12, 2001",0.0
378,"Jan 13, 2001",0.0
379,"Jan 14, 2001",0.0
380,"Jan 15, 2001",0.0
381,"Jan 16, 2001",0.0
382,"Jan 17, 2001",0.0
383,"Jan 18, 2001",0.0
384,"Jan 19, 2001",0.0
385,"Jan 20, 2001",0.0
386,"Jan 21, 2001",0.0
387,"Jan 22, 2001",0.0
388,"Jan 23, 2001",0.006
389,"Jan 24, 2001",0.0
390,"Jan 25, 2001",0.0
391,"Jan 26, 2001",0.0
392,"Jan 27, 2001",0.0
393,"Jan 28, 2001",0.0
394,"Jan 29, 2001",0.0
395,"Jan 30, 2001",0.0
396,"Jan 31, 2001",0.0
397,"Feb 1, 2001",0.0
398,"Feb 2, 2001",0.0
399,"Feb 3, 2001",0.0
400,"Feb 4, 2001",0.0
401,"Feb 5, 2001",0.0
402,"Feb 6, 2001",0.0
403,"Feb 7, 2001",0.0
404,"Feb 8, 2001",0.001
405,"Feb 9, 2001",0.001
406,"Feb 10, 2001",0.001
407,"Feb 11, 2001",0.0
408,"Feb 12, 2001",0.0
409,"Feb 13, 2001",0.0
410,"Feb 14, 2001",0.0
411,"Feb 15, 2001",0.0
412,"Feb 16, 2001",0.001
413,"Feb 17, 2001",0.001
414,"Feb 18, 2001",0.001
415,"Feb 19, 2001",0.004
416,"Feb 20, 2001",0.001
417,"Feb 21, 2001",0.001
418,"Feb 22, 2001",0.006
419,"Feb 23, 2001",0.006999999999999999
420,"Feb 24, 2001",0.016
421,"Feb 25, 2001",0.021
422,"Feb 26, 2001",0.013999999999999999
423,"Feb 27, 2001",0.001
424,"Feb 28, 2001",0.0
425,"Mar 1, 2001",0.001
426,"Mar 2, 2001",0.0
427,"Mar 3, 2001",0.0
428,"Mar 4, 2001",0.0
429,"Mar 5, 2001",0.002
430,"Mar 6, 2001",0.002
431,"Mar 7, 2001",0.0
432,"Mar 8, 2001",0.0
433,"Mar 9, 2001",0.002
434,"Mar 10, 2001",0.001
435,"Mar 11, 2001",0.0
436,"Mar 12, 2001",0.0
437,"Mar 13, 2001",0.002
438,"Mar 14, 2001",0.002
439,"Mar 15, 2001",0.0
440,"Mar 16, 2001",0.0
441,"Mar 17, 2001",0.0
442,"Mar 18, 2001",0.0
443,"Mar 19, 2001",0.0
444,"Mar 20, 2001",0.0
445,"Mar 21, 2001",0.0
446,"Mar 22, 2001",0.013000000000000001
447,"Mar 23, 2001",0.015
448,"Mar 24, 2001",0.003
449,"Mar 25, 2001",0.0
450,"Mar 26, 2001",0.008
451,"Mar 27, 2001",0.005
452,"Mar 28, 2001",0.002
453,"Mar 29, 2001",0.015
454,"Mar 30, 2001",0.012
455,"Mar 31, 2001",0.004
456,"Apr 1, 2001",0.002
457,"Apr 2, 2001",0.001
458,"Apr 3, 2001",0.0
459,"Apr 4, 2001",0.001
460,"Apr 5, 2001",0.001
461,"Apr 6, 2001",0.0
462,"Apr 7, 2001",0.003
463,"Apr 8, 2001",0.004
464,"Apr 9, 2001",0.009000000000000001
465,"Apr 10, 2001",0.006999999999999999
466,"Apr 11, 2001",0.005
467,"Apr 12, 2001",0.011000000000000001
468,"Apr 13, 2001",0.011000000000000001
469,"Apr 14, 2001",0.005
470,"Apr 15, 2001",0.003
471,"Apr 16, 2001",0.008
472,"Apr 17, 2001",0.004
473,"Apr 18, 2001",0.008
474,"Apr 19, 2001",0.006999999999999999
475,"Apr 20, 2001",0.004
476,"Apr 21, 2001",0.001
477,"Apr 22, 2001",0.0
478,"Apr 23, 2001",0.0
479,"Apr 24, 2001",0.0
480,"Apr 25, 2001",0.001
481,"Apr 26, 2001",0.018000000000000002
482,"Apr 27, 2001",0.026000000000000002
483,"Apr 28, 2001",0.073
484,"Apr 29, 2001",0.061
485,"Apr 30, 2001",0.017
486,"May 1, 2001",0.005
487,"May 2, 2001",0.002
488,"May 3, 2001",0.008
489,"May 4, 2001",0.006999999999999999
490,"May 5, 2001",0.02
491,"May 6, 2001",0.009000000000000001
492,"May 7, 2001",0.011000000000000001
493,"May 8, 2001",0.017
494,"May 9, 2001",0.039
495,"May 10, 2001",0.033
496,"May 11, 2001",0.024
497,"May 12, 2001",0.001
498,"May 13, 2001",0.001
499,"May 14, 2001",0.003
500,"May 15, 2001",0.005
501,"May 16, 2001",0.005
502,"May 17, 2001",0.005
503,"May 18, 2001",0.004
504,"May 19, 2001",0.004
505,"May 20, 2001",0.011000000000000001
506,"May 21, 2001",0.008
507,"May 22, 2001",0.012
508,"May 23, 2001",0.008
509,"May 24, 2001",0.006999999999999999
510,"May 25, 2001",0.01
511,"May 26, 2001",0.003
512,"May 27, 2001",0.005
513,"May 28, 2001",0.004
514,"May 29, 2001",0.009000000000000001
515,"May 30, 2001",0.037000000000000005
516,"May 31, 2001",0.012
517,"Jun 1, 2001",0.013999999999999999
518,"Jun 2, 2001",0.043
519,"Jun 3, 2001",0.064
520,"Jun 4, 2001",0.044000000000000004
521,"Jun 5, 2001",0.055999999999999994
522,"Jun 6, 2001",0.036000000000000004
523,"Jun 7, 2001",0.033
524,"Jun 8, 2001",0.017
525,"Jun 9, 2001",0.006999999999999999
526,"Jun 10, 2001",0.006999999999999999
527,"Jun 11, 2001",0.012
528,"Jun 12, 2001",0.013000000000000001
529,"Jun 13, 2001",0.025
530,"Jun 14, 2001",0.028999999999999998
531,"Jun 15, 2001",0.081
532,"Jun 16, 2001",0.013000000000000001
533,"Jun 17, 2001",0.035
534,"Jun 18, 2001",0.075
535,"Jun 19, 2001",0.05
536,"Jun 20, 2001",0.053
537,"Jun 21, 2001",0.015
538,"Jun 22, 2001",0.044000000000000004
539,"Jun 23, 2001",0.042
540,"Jun 24, 2001",0.008
541,"Jun 25, 2001",0.01
542,"Jun 26, 2001",0.013000000000000001
543,"Jun 27, 2001",0.018000000000000002
544,"Jun 28, 2001",0.009000000000000001
545,"Jun 29, 2001",0.039
546,"Jun 30, 2001",0.038
547,"Jul 1, 2001",0.015
548,"Jul 2, 2001",0.006
549,"Jul 3, 2001",0.006999999999999999
550,"Jul 4, 2001",0.009000000000000001
551,"Jul 5, 2001",0.009000000000000001
552,"Jul 6, 2001",0.008
553,"Jul 7, 2001",0.013999999999999999
554,"Jul 8, 2001",0.018000000000000002
555,"Jul 9, 2001",0.035
556,"Jul 10, 2001",0.016
557,"Jul 11, 2001",0.017
558,"Jul 12, 2001",0.021
559,"Jul 13, 2001",0.036000000000000004
560,"Jul 14, 2001",0.031
561,"Jul 15, 2001",0.017
562,"Jul 16, 2001",0.05
563,"Jul 17, 2001",0.013000000000000001
564,"Jul 18, 2001",0.01
565,"Jul 19, 2001",0.027999999999999997
566,"Jul 20, 2001",0.034
567,"Jul 21, 2001",0.013999999999999999
568,"Jul 22, 2001",0.011000000000000001
569,"Jul 23, 2001",0.011000000000000001
570,"Jul 24, 2001",0.02
571,"Jul 25, 2001",0.028999999999999998
572,"Jul 26, 2001",0.025
573,"Jul 27, 2001",0.057999999999999996
574,"Jul 28, 2001",0.085
575,"Jul 29, 2001",0.096
576,"Jul 30, 2001",0.032
577,"Jul 31, 2001",0.032
578,"Aug 1, 2001",0.023
579,"Aug 2, 2001",0.017
580,"Aug 3, 2001",0.006
581,"Aug 4, 2001",0.006999999999999999
582,"Aug 5, 2001",0.009000000000000001
583,"Aug 6, 2001",0.004
584,"Aug 7, 2001",0.027000000000000003
585,"Aug 8, 2001",0.013000000000000001
586,"Aug 9, 2001",0.006999999999999999
587,"Aug 10, 2001",0.006
588,"Aug 11, 2001",0.003
589,"Aug 12, 2001",0.005
590,"Aug 13, 2001",0.013000000000000001
591,"Aug 14, 2001",0.022000000000000002
592,"Aug 15, 2001",0.013000000000000001
593,"Aug 16, 2001",0.015
594,"Aug 17, 2001",0.008
595,"Aug 18, 2001",0.006999999999999999
596,"Aug 19, 2001",0.006
597,"Aug 20, 2001",0.01
598,"Aug 21, 2001",0.027999999999999997
599,"Aug 22, 2001",0.006999999999999999
600,"Aug 23, 2001",0.005
601,"Aug 24, 2001",0.027000000000000003
602,"Aug 25, 2001",0.066
603,"Aug 26, 2001",0.031
604,"Aug 27, 2001",0.051
605,"Aug 28, 2001",0.016
606,"Aug 29, 2001",0.023
607,"Aug 30, 2001",0.005
608,"Aug 31, 2001",0.011000000000000001
609,"Sep 1, 2001",0.015
610,"Sep 2, 2001",0.011000000000000001
611,"Sep 3, 2001",0.006
612,"Sep 4, 2001",0.003
613,"Sep 5, 2001",0.026000000000000002
614,"Sep 6, 2001",0.024
615,"Sep 7, 2001",0.023
616,"Sep 8, 2001",0.019
617,"Sep 9, 2001",0.013000000000000001
618,"Sep 10, 2001",0.016
619,"Sep 11, 2001",0.013000000000000001
620,"Sep 12, 2001",0.025
621,"Sep 13, 2001",0.009000000000000001
622,"Sep 14, 2001",0.002
623,"Sep 15, 2001",0.002
624,"Sep 16, 2001",0.006
625,"Sep 17, 2001",0.013999999999999999
626,"Sep 18, 2001",0.08
627,"Sep 19, 2001",0.055
628,"Sep 20, 2001",0.01
629,"Sep 21, 2001",0.006999999999999999
630,"Sep 22, 2001",0.01
631,"Sep 23, 2001",0.006
632,"Sep 24, 2001",0.01
633,"Sep 25, 2001",0.005
634,"Sep 26, 2001",0.006
635,"Sep 27, 2001",0.011000000000000001
636,"Sep 28, 2001",0.003
637,"Sep 29, 2001",0.006
638,"Sep 30, 2001",0.006
639,"Oct 1, 2001",0.009000000000000001
640,"Oct 2, 2001",0.012
641,"Oct 3, 2001",0.016
642,"Oct 4, 2001",0.01
643,"Oct 5, 2001",0.013000000000000001
644,"Oct 6, 2001",0.011000000000000001
645,"Oct 7, 2001",0.005
646,"Oct 8, 2001",0.003
647,"Oct 9, 2001",0.022000000000000002
648,"Oct 10, 2001",0.006999999999999999
649,"Oct 11, 2001",0.002
650,"Oct 12, 2001",0.001
651,"Oct 13, 2001",0.006
652,"Oct 14, 2001",0.004
653,"Oct 15, 2001",0.002
654,"Oct 16, 2001",0.004
655,"Oct 17, 2001",0.009000000000000001
656,"Oct 18, 2001",0.023
657,"Oct 19, 2001",0.001
658,"Oct 20, 2001",0.0
659,"Oct 21, 2001",0.001
660,"Oct 22, 2001",0.0
661,"Oct 23, 2001",0.001
662,"Oct 24, 2001",0.0
663,"Oct 25, 2001",0.001
664,"Oct 26, 2001",0.0
665,"Oct 27, 2001",0.001
666,"Oct 28, 2001",0.004
667,"Oct 29, 2001",0.004
668,"Oct 30, 2001",0.013000000000000001
669,"Oct 31, 2001",0.003
670,"Nov 1, 2001",0.001
671,"Nov 2, 2001",0.001
672,"Nov 3, 2001",0.0
673,"Nov 4, 2001",0.001
674,"Nov 5, 2001",0.0
675,"Nov 6, 2001",0.0
676,"Nov 7, 2001",0.006999999999999999
677,"Nov 8, 2001",0.001
678,"Nov 9, 2001",0.001
679,"Nov 10, 2001",0.0
680,"Nov 11, 2001",0.0
681,"Nov 12, 2001",0.001
682,"Nov 13, 2001",0.0
683,"Nov 14, 2001",0.0
684,"Nov 15, 2001",0.0
685,"Nov 16, 2001",0.0
686,"Nov 17, 2001",0.002
687,"Nov 18, 2001",0.001
688,"Nov 19, 2001",0.001
689,"Nov 20, 2001",0.001
690,"Nov 21, 2001",0.0
691,"Nov 22, 2001",0.001
692,"Nov 23, 2001",0.003
693,"Nov 24, 2001",0.0
694,"Nov 25, 2001",0.0
695,"Nov 26, 2001",0.0
696,"Nov 27, 2001",0.0
697,"Nov 28, 2001",0.0
698,"Nov 29, 2001",0.0
699,"Nov 30, 2001",0.0
700,"Dec 1, 2001",0.0
701,"Dec 2, 2001",0.0
702,"Dec 3, 2001",0.0
703,"Dec 4, 2001",0.0
704,"Dec 5, 2001",0.002
705,"Dec 6, 2001",0.001
706,"Dec 7, 2001",0.001
707,"Dec 8, 2001",0.001
708,"Dec 9, 2001",0.001
709,"Dec 10, 2001",0.0
710,"Dec 11, 2001",0.0
711,"Dec 12, 2001",0.0
712,"Dec 13, 2001",0.0
713,"Dec 14, 2001",0.0
714,"Dec 15, 2001",0.0
715,"Dec 16, 2001",0.0
716,"Dec 17, 2001",0.0
717,"Dec 18, 2001",0.0
718,"Dec 19, 2001",0.0
719,"Dec 20, 2001",0.0
720,"Dec 21, 2001",0.0
721,"Dec 22, 2001",0.0
722,"Dec 23, 2001",0.0
723,"Dec 24, 2001",0.0
724,"Dec 25, 2001",0.0
725,"Dec 26, 2001",0.0
726,"Dec 27, 2001",0.0
727,"Dec 28, 2001",0.0
728,"Dec 29, 2001",0.0
729,"Dec 30, 2001",0.0
730,"Dec 31, 2001",0.0
731,"Jan 1, 2002",0.0
732,"Jan 2, 2002",0.0
733,"Jan 3, 2002",0.0
734,"Jan 4, 2002",0.0
735,"Jan 5, 2002",0.0
736,"Jan 6, 2002",0.0
737,"Jan 7, 2002",0.0
738,"Jan 8, 2002",0.0
739,"Jan 9, 2002",0.001
740,"Jan 10, 2002",0.0
741,"Jan 11, 2002",0.0
742,"Jan 12, 2002",0.0
743,"Jan 13, 2002",0.0
744,"Jan 14, 2002",0.0
745,"Jan 15, 2002",0.0
746,"Jan 16, 2002",0.0
747,"Jan 17, 2002",0.011000000000000001
748,"Jan 18, 2002",0.01
749,"Jan 19, 2002",0.002
750,"Jan 20, 2002",0.001
751,"Jan 21, 2002",0.001
752,"Jan 22, 2002",0.003
753,"Jan 23, 2002",0.011000000000000001
754,"Jan 24, 2002",0.0
755,"Jan 25, 2002",0.0
756,"Jan 26, 2002",0.0
757,"Jan 27, 2002",0.0
758,"Jan 28, 2002",0.003
759,"Jan 29, 2002",0.001
760,"Jan 30, 2002",0.0
761,"Jan 31, 2002",0.0
762,"Feb 1, 2002",0.0
763,"Feb 2, 2002",0.0
764,"Feb 3, 2002",0.0
765,"Feb 4, 2002",0.0
766,"Feb 5, 2002",0.0
767,"Feb 6, 2002",0.0
768,"Feb 7, 2002",0.0
769,"Feb 8, 2002",0.0
770,"Feb 9, 2002",0.0
771,"Feb 10, 2002",0.0
772,"Feb 11, 2002",0.0
773,"Feb 12, 2002",0.0
774,"Feb 13, 2002",0.0
775,"Feb 14, 2002",0.0
776,"Feb 15, 2002",0.0
777,"Feb 16, 2002",0.0
778,"Feb 17, 2002",0.0
779,"Feb 18, 2002",0.0
780,"Feb 19, 2002",0.001
781,"Feb 20, 2002",0.002
782,"Feb 21, 2002",0.001
783,"Feb 22, 2002",0.0
784,"Feb 23, 2002",0.0
785,"Feb 24, 2002",0.0
786,"Feb 25, 2002",0.002
787,"Feb 26, 2002",0.001
788,"Feb 27, 2002",0.0
